Filename:	P:\EPR_user_data\Tarabek\Pracovne\IOCB\IOCB_EPR_Measurements\Violog_wire_Lubos_Magda\Merania_&_Vysledky\Wire_1\TMPhenylDiam_Quant_I\RAW\TMPDA_accu_b.par	 Date: 08/02/2011   Time: 09:52

X [G]	Intensity
3481.270020	29060536.000000
3481.320068	34068436.000000
3481.370117	37870364.000000
3481.419922	40366268.000000
3481.469971	41459468.000000
3481.520020	38519984.000000
3481.570068	32115562.000000
3481.620117	22766442.000000
3481.669922	12255208.000000
3481.719971	1677224.250000
3481.770020	-9471173.000000
3481.820068	-20413538.000000
3481.870117	-29240002.000000
3481.919922	-35684968.000000
3481.969971	-38373888.000000
3482.020020	-38602300.000000
3482.070068	-36639320.000000
3482.120117	-32260946.000000
3482.169922	-26111952.000000
3482.219971	-17852622.000000
3482.270020	-9749436.000000
3482.320068	-2948855.750000
3482.370117	2520571.250000
3482.419922	7434527.000000
3482.469971	11229172.000000
3482.520020	13073736.000000
3482.570068	13474531.000000
3482.620117	12826010.000000
3482.669922	11284764.000000
3482.719971	8739030.000000
3482.770020	4720491.000000
3482.820068	-387155.781250
3482.870117	-5028481.000000
3482.919922	-8922094.000000
3482.969971	-12122854.000000
3483.020020	-13836076.000000
3483.070068	-14795138.000000
3483.120117	-13565770.000000
3483.169922	-10916612.000000
3483.219971	-7274523.000000
3483.270020	-3286414.750000
3483.320068	122990.226563
3483.370117	2995635.250000
3483.419922	4974395.000000
3483.469971	5809875.000000
3483.520020	5914585.000000
3483.570068	4965287.000000
3483.620117	3669890.250000
3483.669922	2141313.250000
3483.719971	-363192.781250
3483.770020	-2588355.750000
3483.820068	-4230212.000000
3483.870117	-5063897.000000
3483.919922	-4687600.000000
3483.969971	-2833577.750000
3484.020020	-14718.770508
3484.070068	4652066.000000
3484.120117	10906033.000000
3484.169922	19487574.000000
3484.219971	29193240.000000
3484.270020	39062260.000000
3484.320068	47778888.000000
3484.370117	55862448.000000
3484.419922	62860980.000000
3484.469971	66866140.000000
3484.520020	65492528.000000
3484.570068	59637716.000000
3484.620117	50934828.000000
3484.669922	39290604.000000
3484.719971	23918994.000000
3484.770020	4850722.000000
3484.820068	-16142715.000000
3484.870117	-35065228.000000
3484.919922	-50314492.000000
3484.969971	-61847656.000000
3485.020020	-68822128.000000
3485.070068	-71306584.000000
3485.120117	-67772912.000000
3485.169922	-59098328.000000
3485.219971	-48654352.000000
3485.270020	-39235476.000000
3485.320068	-31101668.000000
