"B_G","dIepr_over_dB","B_mT"
3466.02,-2.29196905706106e-05,346.602
3466.07,-2.36248631803728e-05,346.607
3466.12,-2.32850493177142e-05,346.612
3466.17,-2.1456926541173e-05,346.617
3466.22,-1.79840282383181e-05,346.622
3466.27,-1.4443301856988e-05,346.627
3466.32,-1.23315250320626e-05,346.632
3466.37,-9.52680769716122e-06,346.637
3466.42,-7.4036126422678e-06,346.642
3466.47,-4.83326520320008e-06,346.647
3466.52,-3.40573194808775e-06,346.652
3466.57,-2.47337387132198e-06,346.657
3466.62,-1.65597113072304e-06,346.662
3466.67,-1.0451649784042e-06,346.667
3466.72,-6.45682991161206e-07,346.672
3466.77,-1.03658886015267e-06,346.677
3466.82,-7.08203855315314e-07,346.682
3466.87,5.06946889316837e-07,346.687
3466.92,2.52269945152446e-07,346.692
3466.97,2.0692369192941e-07,346.697
3467.02,5.90477306400787e-07,346.702
3467.07,1.80501726410864e-06,346.707
3467.12,1.48923801200522e-06,346.712
3467.17,2.28992929233264e-06,346.717
3467.22,4.13577485329088e-06,346.722
3467.27,5.76272914770434e-06,346.727
3467.32,7.9898416740726e-06,346.732
3467.37,1.08600953866614e-05,346.737
3467.42,1.39748775447556e-05,346.742
3467.47,1.57713226061376e-05,346.747
3467.52,1.70146606202012e-05,346.752
3467.57,1.69975262832406e-05,346.757
3467.62,1.57544903239549e-05,346.762
3467.67,1.32010803268814e-05,346.767
3467.72,8.37857498610548e-06,346.772
3467.77,1.60184627067509e-06,346.777
3467.82,-3.86058840718237e-06,346.782
3467.87,-8.37356870784098e-06,346.787
3467.92,-1.20247850488702e-05,346.792
3467.97,-1.40061905567384e-05,346.797
3468.02,-1.59360274829574e-05,346.802
3468.07,-1.56938623364094e-05,346.807
3468.12,-1.44458793910934e-05,346.812
3468.17,-1.20106578350325e-05,346.817
3468.22,-8.11021945286469e-06,346.822
3468.27,-5.46878845604812e-06,346.827
3468.32,-2.82897065549019e-06,346.832
3468.37,1.00838239765713e-06,346.837
3468.42,4.98931453254898e-06,346.842
3468.47,6.96505707269094e-06,346.847
3468.52,9.04400613685811e-06,346.852
3468.57,1.05381452673162e-05,346.857
3468.62,1.09697658829352e-05,346.862
3468.67,1.0172927479109e-05,346.867
3468.72,9.05869942372423e-06,346.872
3468.77,6.35277190076136e-06,346.877
3468.82,2.56194863815807e-06,346.882
3468.87,1.57216662689612e-07,346.887
3468.92,-3.15984145927809e-06,346.892
3468.97,-5.7710446038697e-06,346.897
3469.02,-7.6878350011232e-06,346.902
3469.07,-8.10572443027994e-06,346.907
3469.12,-9.10099939857538e-06,346.912
3469.17,-9.03932428779959e-06,346.917
3469.22,-8.49782733116928e-06,346.922
3469.27,-6.48613579756334e-06,346.927
3469.32,-4.83951661838265e-06,346.932
3469.37,-2.35940972231545e-06,346.937
3469.42,-7.73206043534372e-07,346.942
3469.47,5.40175152336293e-07,346.947
3469.52,2.24638865544902e-06,346.952
3469.57,2.74204935888314e-06,346.957
3469.62,2.61635205983459e-06,346.962
3469.67,1.78083721977148e-06,346.967
3469.72,1.05578038592756e-06,346.972
3469.77,5.21396408537925e-08,346.977
3469.82,-7.66278920626269e-07,346.982
3469.87,-1.83052299330468e-06,346.987
3469.92,-2.08284165527808e-06,346.992
3469.97,-1.56856990263544e-06,346.997
3470.02,-4.88330316421398e-07,347.002
3470.07,1.05948111631839e-06,347.007
3470.12,2.79374099988634e-06,347.012
3470.17,4.78708997741973e-06,347.017
3470.22,8.49869881513979e-06,347.022
3470.27,1.33052914627238e-05,347.027
3470.32,1.92480872101505e-05,347.032
3470.37,2.67923863401432e-05,347.037
3470.42,3.44328194374711e-05,347.042
3470.47,4.14020801058221e-05,347.047
3470.52,4.52571716754061e-05,347.052
3470.57,4.57215395038426e-05,347.057
3470.62,4.38484418895831e-05,347.062
3470.67,3.81151916101265e-05,347.067
3470.72,2.82696758482369e-05,347.072
3470.77,1.58205127860906e-05,347.077
3470.82,1.99438099802479e-06,347.082
3470.87,-1.06311736640453e-05,347.087
3470.92,-2.19408429073511e-05,347.092
3470.97,-3.06416963575326e-05,347.097
3471.02,-3.76568783019062e-05,347.102
3471.07,-4.19047395303339e-05,347.107
3471.12,-4.13611304277006e-05,347.112
3471.17,-3.88113808870476e-05,347.117
3471.22,-3.47341582337448e-05,347.122
3471.27,-3.04489496101032e-05,347.127
3471.32,-2.61651505754255e-05,347.132
3471.37,-1.94607941847967e-05,347.137
3471.42,-1.41224570343859e-05,347.142
3471.47,-1.10581448735263e-05,347.147
3471.52,-7.51961733910773e-06,347.152
3471.57,-5.3885627070194e-06,347.157
3471.62,-3.54052892700298e-06,347.162
3471.67,-1.65795126760084e-06,347.167
3471.72,-8.0740759417173e-07,347.172
3471.77,7.62928402473672e-08,347.177
3471.82,9.11762905234453e-07,347.182
3471.87,1.47801052403595e-06,347.187
3471.92,2.44253631593408e-06,347.192
3471.97,3.42949247189996e-06,347.197
3472.02,5.17379840371881e-06,347.202
3472.07,7.11293637965646e-06,347.207
3472.12,9.99002324255581e-06,347.212
3472.17,1.410552630472e-05,347.217
3472.22,1.97452559500316e-05,347.222
3472.27,2.74966214613723e-05,347.227
3472.32,3.75109008213205e-05,347.232
3472.37,4.92266010469442e-05,347.237
3472.42,5.99858101377638e-05,347.242
3472.47,6.65558684992218e-05,347.247
3472.52,6.8920563620791e-05,347.252
3472.57,6.74026287267966e-05,347.257
3472.62,6.03231180644867e-05,347.262
3472.67,4.74344362136382e-05,347.267
3472.72,2.79803789691117e-05,347.272
3472.77,6.44037673614374e-06,347.277
3472.82,-1.31823708301897e-05,347.282
3472.87,-2.98322432512013e-05,347.287
3472.92,-4.43802686184328e-05,347.292
3472.97,-5.59559071622334e-05,347.297
3473.02,-6.26881756517895e-05,347.302
